iata_code,icao_code,airport_name,city,country_code,latitude,longitude,elevation_ft,timezone,airport_type
AAA,NTGA,Anaa Airport,Anaa,PF,-17.3526,-145.509995,10,Pacific/Tahiti,medium_airport
AAC,HEAR,El Arish International Airport,El Arish,EG,31.078565,33.836791,118,Africa/Cairo,medium_airport
AAE,DABB,Annaba Rabah Bitat Airport,Annaba,DZ,36.826781,7.81334,16,Africa/Algiers,medium_airport
AAL,EKYT,Aalborg Airport,Aalborg,DK,57.094763,9.84993,10,Europe/Copenhagen,medium_airport
AAM,FAMD,Malamala Airport,Malamala,ZA,-24.816866,31.544085,1124,Africa/Johannesburg,medium_airport
AAN,OMAL,Al Ain International Airport,Al Ain,AE,24.261699676513672,55.60919952392578,869,Asia/Dubai,medium_airport
AAO,SVAN,Anaco Airport,Anaco,VE,9.430225,-64.470726,721,America/Caracas,medium_airport
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,-0.374478,117.250128,82,Asia/Makassar,medium_airport
AAQ,URKA,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,45.002102,37.347301,174,Europe/Moscow,medium_airport
AAR,EKAH,Aarhus Airport,Aarhus,DK,56.303331,10.618286,82,Europe/Copenhagen,medium_airport
AAT,ZWAT,Altay Xuedu Airport,Altay,CN,47.749886,88.085808,2460,Asia/Shanghai,medium_airport
AAV,RPMA,Allah Valley Airport,Surallah,PH,6.367903,124.752431,659,Asia/Manila,medium_airport
AAX,SBAX,Romeu Zema Airport,Araxá,BR,-19.5632,-46.9604,3276,America/Sao_Paulo,medium_airport
AAY,OYGD,Al Ghaydah International Airport,Al Ghaydah,YE,16.193341,52.174186,134,Asia/Aden,medium_airport
ABA,UNAA,Abakan International Airport,Abakan,RU,53.740002,91.385002,831,Asia/Krasnoyarsk,medium_airport
ABB,DNAS,Asaba International Airport,Asaba,NG,6.204167,6.665278,305,Africa/Lagos,medium_airport
ABC,LEAB,Albacete Airport / Los Llanos Air Base,Albacete,ES,38.948502,-1.86352,2302,Europe/Madrid,medium_airport
ABD,OIAA,Abadan Airport,Abadan,IR,30.367887,48.230075,10,Asia/Tehran,medium_airport
ABE,KABE,Lehigh Valley International Airport,Allentown,US,40.651773,-75.442797,393,America/New_York,medium_airport
ABI,KABI,Abilene Regional Airport,Abilene,US,32.4113006592,-99.68190002440001,1791,America/Chicago,medium_airport
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.26139,-3.92629,21,Africa/Abidjan,medium_airport
ABK,HAKD,Kebri Dahar Airport,Kebri Dahar,ET,6.732577,44.241339,1800,Africa/Addis_Ababa,medium_airport
ABL,PAFM,Ambler Airport,Ambler,US,67.105529,-157.855339,334,America/Anchorage,medium_airport
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925,5355,America/Denver,large_airport
ABR,KABR,Aberdeen Regional Airport,Aberdeen,US,45.449100494384766,-98.42179870605469,1302,America/Chicago,medium_airport
ABS,HEBL,Abu Simbel Airport,Abu Simbel,EG,22.367657,31.609962,614,Africa/Cairo,medium_airport
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,20.298506,41.636153,5486,Asia/Riyadh,medium_airport
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,NG,9.00679,7.26317,1123,Africa/Lagos,large_airport
ABX,YMAY,Albury Airport,East Albury,AU,-36.066758,146.959148,539,Australia/Sydney,medium_airport
ABY,KABY,Southwest Georgia Regional Airport,Albany,US,31.532946,-84.196215,197,America/New_York,medium_airport
ABZ,EGPD,Aberdeen International Airport,Aberdeen,GB,57.2019,-2.19778,215,Europe/London,medium_airport
ACA,MMAA,General Juan N. Álvarez International Airport,Acapulco,MX,16.757126,-99.753113,16,America/Mexico_City,medium_airport
ACC,DGAA,Kotoka International Airport,Accra,GH,5.605189800262451,-0.16678600013256073,205,Africa/Accra,large_airport
ACE,GCRR,César Manrique-Lanzarote Airport,San Bartolomé,ES,28.945499,-13.6052,46,Atlantic/Canary,large_airport
